No.,Title,Link
112,Status and distribution changes of the endangered Green Peafowl (Pavo muticus) in China over the past three decades (1990s‒2017),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0110-0
113,Spatial distribution of display sites of Grey Peacock-pheasant in relation to micro-habitat and predators during the breeding season,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0107-8
114,Food preferences by birds using bird-feeders in winter: a large-scale experiment,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0111-z
115,Migration departure strategies of shorebirds at a final pre-breeding stopover site,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0108-7
116,"Population trends, threats, and conservation recommendations for waterbirds in China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0106-9
117,Bird functional traits affect seed dispersal patterns of China’s endangered trees across different disturbed habitats,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0105-x
118,Russet Sparrows spot alien chicks from their nests,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0104-y
119,Comparison of head size and bite force in two sister species of parrotbills,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0103-z
120,Seasonal change in sexual differences in nestling size and survival: a framework to evaluate sex-dependent environmental sensitivity in the wild,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0102-0
121,"Birds of the Kangchenjunga Landscape, the Eastern Himalaya: status, threats and implications for conservation",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0100-2
122,"Area, isolation, disturbance and age effects on species richness of summer waterbirds in post-mining subsidence lakes, Anhui, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0101-1
123,Species distribution modeling in regions of high need and limited data: waterfowl of China,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0099-4
124,Contribution of citizen science towards cryptic species census: “many eyes” define wintering range of the Scaly-sided Merganser in mainland China,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0098-5
125,"The breeding biology of endemic Spectacled Parrotbill (Sinosuthora conspicillatus) in Lianhuashan National Nature Reserve, Gansu Province, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0097-6
126,"Karyotypes and recombination patterns of the Common Swift (Apus apus Linnaeus, 1758) and Eurasian Hobby (Falco subbuteo Linnaeus, 1758)",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0096-7
